id	tokens	pos_tags	chunk_tags	ner_tags
29	['It', 'was', 'originally', 'described', 'as', 'shastasaurid', '-', 'like', ',', 'with', 'flattened', 'centra', 'similar', 'to', 'Shonisaurus', 'and', 'Himalayasaurus', ',', 'and', 'an', 'aulacodont', 'dentition', 'analogous', 'to', 'Shastasaurus', '.']	[10, 3, 2, 15, 1, 7, 12, 6, 12, 1, 15, 11, 0, 1, 11, 4, 11, 12, 4, 5, 7, 7, 0, 1, 11, 12]	[0, 21, 3, 21, 13, 11, 0, 7, 0, 13, 21, 11, 1, 13, 11, 0, 11, 0, 0, 0, 11, 12, 1, 13, 11, 0]	[6, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
30	['[', '7', ']', 'While', 'the', 'morphology', 'of', 'the', 'posterior', 'jaw', 'was', 'considered', 'unique', 'at', 'the', 'time', 'of', 'discovery', ',', 'it', 'has', 'since', 'been', 'linked', 'to', 'Ichthyotitan', 'specimens', '.']	[16, 16, 16, 13, 5, 7, 1, 5, 0, 7, 3, 15, 0, 1, 5, 7, 1, 7, 12, 10, 3, 2, 3, 15, 1, 11, 7, 12]	[19, 20, 20, 17, 0, 11, 13, 0, 1, 11, 21, 22, 1, 13, 0, 11, 13, 11, 0, 0, 21, 3, 21, 22, 13, 11, 12, 0]	[7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
31	['[', '3', ']', '\n', 'Ichthyotitan', 'is', 'the', 'only', 'shastasaurid', 'and', 'giant', 'ichthyosaur', 'to', 'be', 'known', 'from', 'the', 'Rhaetian', ',', 'found', 'in', 'the', 'fossil', 'record', '13', 'million', 'years', 'after', 'their', 'relatives', '.']	[16, 16, 12, 11, 3, 5, 0, 0, 4, 0, 7, 9, 3, 15, 1, 5, 11, 12, 15, 1, 5, 7, 7, 8, 8, 7, 1, 10, 7, 12, -1]	[19, 20, 0, 0, 11, 21, 0, 1, 2, 0, 1, 11, 15, 21, 22, 13, 0, 11, 0, 21, 13, 0, 11, 12, 0, 0, 11, 13, 0, 11, 0]	[7, 6, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32	['[', '5', ']', 'The', 'lineage', 'is', 'believed', 'to', 'have', 'gone', 'extinct', 'immediately', 'after', 'in', 'the', 'Triassic', '–', 'Jurassic', 'extinction', 'event', ',', 'with', 'later', 'ichthyosaurs', 'never', 'reaching', 'similar', 'sizes', 'until', 'their', 'extinction', 'in', 'the', 'early', 'Late', 'Cretaceous', '.']	[16, 16, 16, 5, 7, 3, 15, 9, 3, 15, 0, 2, 1, 1, 5, 11, 12, 11, 7, 7, 12, 1, 2, 7, 2, 15, 0, 7, 1, 10, 7, 1, 5, 0, 0, 11, 12]	[19, 20, 20, 0, 11, 21, 22, 15, 21, 22, 1, 3, 13, 14, 0, 11, 0, 11, 12, 12, 0, 13, 3, 11, 3, 21, 1, 11, 13, 0, 11, 13, 0, 1, 2, 11, 0]	[7, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
33	['[', '3', ']', '\n', 'While', 'its', 'incompleteness', 'made', 'the', 'size', 'of', 'the', 'animal', 'difficult', 'to', 'determine', ',', 'it', 'was', 'clearly', 'very', 'large', '.']	[16, 16, 16, 13, 10, 7, 15, 5, 7, 1, 5, 7, 0, 9, 15, 12, 10, 3, 2, 2, 0, 12, -1]	[19, 20, 20, 0, 17, 0, 11, 21, 0, 11, 13, 0, 11, 1, 15, 21, 0, 0, 21, 3, 4, 1, 0]	[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34	['By', 'comparing', 'the', 'Lilstock', 'surangular', 'to', 'the', 'same', 'bone', 'in', 'Shastasaurus', 'sikanniensis', 'as', 'a', 'model', ',', 'the', 'researchers', 'estimated', 'the', 'Lilstock', 'ichthyosaur', 'to', 'have', 'been', 'around', '26', 'meters', '(', '85', '\xa0', 'ft', ')', 'long', 'or', '25', '%', 'larger', 'by', 'direct', 'scaling', ',', 'nearly', 'the', 'size', 'of', 'a', 'blue', 'whale', '.']	[1, 15, 5, 11, 0, 1, 5, 0, 7, 1, 11, 7, 1, 5, 7, 12, 5, 7, 15, 5, 11, 7, 9, 3, 3, 2, 8, 7, 12, 8, 11, 12, 0, 4, 8, 7, 0, 1, 0, 7, 12, 2, 5, 7, 1, 5, 0, 7, 12, -1]	[13, 21, 0, 11, 1, 13, 0, 1, 11, 13, 11, 12, 13, 0, 11, 0, 0, 11, 21, 0, 11, 12, 15, 21, 22, 3, 0, 11, 0, 0, 0, 11, 0, 1, 0, 0, 11, 1, 13, 1, 11, 0, 3, 0, 11, 13, 0, 1, 11, 0]	[7, 7, 8, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
35	['Scaling', 'based', 'on', 'the', 'height', 'at', 'the', 'coronoid', 'process', 'compared', 'to', 'Besanosaurus', ',', 'however', ',', 'found', 'a', 'shorter', 'length', 'estimate', 'of', '22', 'meters', '(', '72', '\xa0', 'ft', ')', '.']	[7, 15, 1, 5, 7, 1, 5, 7, 7, 15, 1, 11, 12, 2, 12, 15, 5, 0, 7, 7, 1, 8, 7, 12, 8, 11, 12, 12, -1]	[11, 21, 13, 0, 11, 13, 0, 11, 12, 21, 13, 11, 0, 3, 0, 21, 0, 1, 11, 12, 13, 0, 11, 0, 0, 0, 11, 0, 0]	[5, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
36	['Researchers', 'pointed', 'out', 'that', ',', 'while', 'difference', 'in', 'proportions', 'between', 'species', 'make', 'these', 'estimates', 'speculative', ',', 'they', 'were', 'nonetheless', 'conventional', 'given', 'the', 'scarcity', 'of', 'material', '.']	[7, 15, 1, 13, 12, 13, 7, 1, 7, 1, 7, 15, 5, 7, 0, 12, 10, 3, 2, 0, 15, 5, 7, 1, 7, 12]	[11, 21, 13, 17, 0, 17, 11, 13, 11, 13, 11, 21, 0, 11, 1, 0, 0, 21, 3, 1, 21, 0, 11, 13, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
37	['[', '1][8', ']', '\n', 'The', '2024', 'study', 'describing', 'Ichthyotitan', 'pointed', 'out', 'inaccuracies', 'in', 'the', 'Besanosaurus', 'scaling', ',', 'due', 'to', 'a', 'misidentification', 'of', 'the', 'coronoid', 'process', 'with', 'the', 'nearby', 'M.A.M.E.']	[16, 16, 16, 5, 8, 7, 15, 11, 15, 1, 7, 1, 5, 11, 7, 12, 1, 1, 5, 7, 1, 5, 7, 7, 1, 5, 0, 11, -1]	[19, 20, 20, 0, 0, 0, 11, 21, 11, 21, 13, 11, 13, 0, 11, 12, 0, 13, 14, 0, 11, 13, 0, 11, 12, 13, 0, 1, 11]	[7, 8, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
38	['(', 'M.', 'adductor', 'mandibulae', 'externus', ')', 'process', '.']	[12, 11, 7, 7, 11, 12, 7, 12]	[0, 11, 12, 12, 12, 0, 11, 0]	[8, 5, 0, 0, 0, 0, 0, 0]
39	['Comparing', 'the', 'position', 'of', 'the', 'M.A.M.E.']	[15, 5, 7, 1, 5, 11]	[21, 0, 11, 13, 0, 11]	[1, 0, 0, 0, 0, 0]
40	['process', 'in', 'the', 'BAS', 'specimen', 'to', 'that', 'in', 'Besanosaurus', ',', 'they', 'provided', 'a', 'revised', 'length', 'estimate', 'of', '25', 'metres', '(', '82', '\xa0', 'ft', ')', ',', 'likely', 'making', 'it', 'the', 'largest', 'marine', 'reptile', 'ever', 'described', '.']	[7, 1, 5, 11, 7, 1, 10, 1, 11, 12, 10, 15, 5, 15, 7, 7, 1, 8, 7, 12, 8, 11, 12, 12, 2, 15, 10, 5, 0, 0, 7, 2, 15, 12, -1]	[11, 13, 0, 11, 12, 13, 0, 13, 11, 0, 0, 21, 0, 21, 11, 12, 13, 0, 11, 0, 0, 0, 11, 0, 0, 3, 21, 0, 0, 1, 2, 11, 3, 21, 0]	[1, 5, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
41	['[', '3', ']', '\n', 'Apart', 'from', 'its', 'size', ',', 'features', 'of', 'the', 'surangular', 'bone', 'distinguish', 'Ichthyotitan', 'from', 'other', 'shastasaurids', '.']	[16, 16, 16, 2, 1, 10, 7, 12, 7, 1, 5, 0, 7, 7, 11, 1, 0, 7, 12, -1]	[19, 20, 20, 0, 3, 13, 0, 11, 0, 11, 13, 0, 1, 11, 12, 12, 13, 1, 11, 0]	[7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
42	['Namely', ',', 'the', 'surangular', 'is', 'spatulate', 'at', 'its', 'posterior', 'end', 'and', 'shows', 'an', 'almost', '90', '-', 'degree', 'upwards', 'turn', '.']	[2, 12, 5, 7, 3, 0, 1, 10, 0, 7, 4, 15, 5, 2, 8, 12, 7, 7, 7, 12]	[3, 0, 0, 11, 21, 1, 13, 0, 1, 11, 0, 21, 0, 3, 0, 0, 11, 12, 12, 0]	[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
43	['This', 'is', 'consistent', 'in', 'both', 'the', 'Lilstock', 'and', 'BAS', 'specimens', ',', 'ruling', 'out', 'taphonomic', 'distortion', '.']	[10, 3, 0, 1, 4, 5, 11, 4, 11, 7, 12, 15, 1, 0, 7, 12]	[0, 21, 1, 13, 0, 0, 11, 0, 11, 12, 0, 21, 13, 1, 11, 0]	[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
44	['In', 'comparison', ',', 'other', 'shastasaurids', 'show', 'a', 'much', 'less', 'marked', 'curvature', '.']	[1, 7, 12, 0, 7, 15, 5, 2, 2, 0, 7, 12]	[13, 11, 0, 1, 11, 21, 0, 3, 4, 1, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
45	['An', 'extensive', 'M.A.M.E.']	[5, 0, 11]	[0, 1, 11]	[2, 0, 0]
46	['process', 'is', 'present', 'for', 'muscle', 'attachment', '.']	[7, 3, 0, 1, 7, 7, 12]	[11, 21, 1, 13, 11, 12, 0]	[0, 0, 0, 0, 0, 0, 0]
47	['Another', 'thin', 'process', ',', 'posterior', 'to', 'the', 'latter', ',', 'shows', 'vertical', 'ridges', 'and', 'furrows', 'on', 'its', 'medial', 'side', ',', 'and', 'has', 'also', 'been', 'reported', 'in', 'the', 'Cuers', 'specimen', '.']	[5, 0, 7, 12, 0, 1, 5, 0, 12, 15, 0, 7, 4, 15, 1, 10, 0, 7, 12, 4, 3, 2, 3, 15, 1, 5, 11, 7, 12]	[0, 1, 11, 0, 1, 13, 0, 1, 0, 21, 1, 11, 0, 21, 13, 0, 1, 11, 0, 0, 21, 3, 21, 22, 13, 0, 11, 12, 0]	[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
48	['[', '3', ']', '\n', 'The', 'coronoid', 'process', 'is', 'also', 'less', 'prominent', 'laterally', 'than', 'in', 'Shonisaurus', ',', 'while', 'the', 'shaft', 'shows', 'a', 'subcircular', 'rather', 'than', 'oblong', 'cross', '-', 'section', 'at', 'that', 'position', '.']	[16, 16, 12, 5, 7, 7, 3, 2, 2, 0, 2, 1, 1, 11, 12, 13, 5, 7, 15, 5, 7, 2, 1, 0, 7, 7, 7, 1, 5, 7, 12, -1]	[19, 20, 0, 0, 0, 11, 12, 21, 3, 4, 1, 3, 13, 14, 11, 0, 17, 0, 11, 21, 0, 11, 3, 13, 1, 11, 12, 12, 13, 0, 11, 0]	[7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
49	['While', 'less', 'well', '-', 'preserved', ',', 'the', 'anterior', 'part', 'of', 'the', 'surangular', 'bears', 'a', 'lateral', 'groove', 'believed', 'to', 'represent', 'the', 'continuation', 'of', 'the', 'fossa', 'surangularis', ',', 'also', 'known', 'from', 'the', 'Cuers', 'specimen', '.']	[13, 2, 2, 12, 15, 12, 5, 0, 7, 1, 5, 0, 15, 5, 0, 7, 15, 9, 15, 5, 7, 1, 5, 0, 7, 12, 2, 15, 1, 5, 11, 7, 12]	[17, 3, 4, 0, 21, 0, 0, 1, 11, 13, 0, 1, 21, 0, 1, 11, 21, 15, 21, 0, 11, 13, 0, 1, 11, 0, 3, 21, 13, 0, 11, 12, 0]	[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
50	['[', '3', ']', '\n', 'Another', 'bone', 'fragment', 'is', 'believed', 'to', 'correspond', 'to', 'the', 'angular', 'bone', 'by', 'comparison', 'with', 'Cymbospondylus', 'youngorum', ',', 'running', 'ventrally', 'across', 'the', 'entire', 'length', 'of', 'the', 'surangular', 'in', 'the', 'BAS', 'specimen', '.']	[16, 16, 12, 5, 7, 7, 3, 15, 9, 15, 1, 5, 0, 7, 1, 7, 1, 11, 7, 12, 15, 2, 1, 5, 0, 7, 1, 5, 7, 1, 5, 11, 7, 12, -1]	[19, 20, 0, 0, 0, 11, 12, 21, 22, 15, 21, 13, 0, 1, 11, 13, 11, 13, 11, 12, 0, 21, 3, 13, 0, 1, 11, 13, 0, 11, 13, 0, 11, 12, 0]	[7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
51	['While', 'a', 'suture', 'is', 'present', 'between', 'the', 'two', 'bones', ',', 'it', 'disappears', 'in', 'a', 'section', 'anterior', 'to', 'the', 'coronoid', 'process', '.']	[13, 5, 7, 3, 0, 1, 5, 8, 7, 12, 10, 15, 1, 5, 7, 0, 1, 5, 7, 7, 12]	[17, 0, 11, 21, 1, 13, 0, 0, 11, 0, 0, 21, 13, 0, 11, 1, 13, 0, 11, 12, 0]	[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
52	['Along', 'with', 'the', 'continuous', 'bone', 'structure', ',', 'this', 'implies', 'that', 'the', 'bones', 'were', 'possibly', 'fused', 'in', 'life', ',', 'a', 'unique', 'condition', 'among', 'ichthyosaurs', '.']	[1, 1, 5, 0, 7, 7, 12, 10, 15, 13, 5, 7, 3, 2, 15, 1, 7, 12, 5, 0, 7, 1, 7, 12]	[13, 14, 0, 1, 11, 12, 0, 0, 21, 17, 0, 11, 21, 3, 21, 13, 11, 0, 0, 1, 11, 13, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
53	"['Researchers', 'speculate', 'that', 'this', 'was', 'related', 'to', 'Ichthyotitan', ""'s"", 'large', 'size', 'and', 'the', 'individual', ""'s"", 'maturity', '.']"	[7, 15, 13, 10, 3, 15, 1, 11, 9, 0, 7, 4, 5, 7, 9, 7, 12]	[11, 21, 17, 0, 21, 22, 13, 11, 15, 1, 11, 0, 0, 11, 15, 11, 0]	[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
54	['This', 'morphology', 'was', 'also', 'observed', 'in', 'one', 'of', 'the', 'Aust', 'bones', ',', 'and', 'is', 'believed', 'to', 'also', 'be', 'present', 'in', 'the', 'Lilstock', 'specimen', 'despite', 'poorer', 'preservation', '.']	[5, 7, 3, 2, 15, 1, 8, 1, 5, 0, 7, 12, 4, 3, 15, 9, 2, 3, 0, 1, 5, 11, 7, 13, 0, 7, 12]	[0, 11, 21, 3, 21, 13, 0, 13, 0, 1, 11, 0, 0, 21, 22, 15, 3, 21, 1, 13, 0, 11, 12, 17, 1, 11, 0]	[8, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
55	['[', '3', ']', 'Similarly', ',', 'unique', 'patterns', 'of', 'periosteal', 'growth', 'in', 'Ichthyotitan', 'are', 'believed', 'to', 'have', 'played', 'a', 'role', 'in', 'approaching', 'the', 'biological', 'size', 'limits', 'in', 'vertebrates', '.']	[16, 16, 16, 2, 12, 0, 7, 1, 0, 7, 1, 11, 3, 15, 9, 3, 15, 5, 7, 1, 15, 5, 0, 7, 7, 1, 7, 12]	[19, 20, 20, 3, 0, 1, 11, 13, 1, 11, 13, 11, 21, 22, 15, 21, 22, 0, 11, 13, 21, 0, 1, 11, 12, 13, 11, 0]	[7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
56	['[', '5', ']', '\n', 'Although', 'older', 'studies', 'have', 'suggested', 'that', 'shastasaurids', 'were', 'suction', '-', 'feeders', ',', 'current', 'research', 'indicates', 'that', 'the', 'jaws', 'of', 'shastasaurid', 'ichthyosaurs', 'do', 'not', 'fit', 'the', 'suction', '-', 'feeding', 'profile', ',', 'since', 'their', 'short', 'and', 'narrow', 'hyoid', 'bones', 'are', 'unsuitable', 'to', 'withstand', 'impact', 'forces', 'for', 'such', 'kind', 'of', 'feeding,[9', ']', 'and', 'since', 'some', 'species', 'like', 'Shonisaurus', 'had', 'robust', 'sectorial', 'teeth', 'with', 'gut', 'contents', 'of', 'mollusk', 'shells', 'and', 'vertebrates', '.']	[16, 16, 16, 13, 0, 7, 3, 15, 13, 7, 3, 7, 12, 7, 12, 0, 7, 15, 13, 5, 7, 1, 11, 7, 3, 9, 15, 5, 7, 12, 15, 7, 12, 13, 10, 0, 4, 0, 7, 7, 3, 0, 9, 15, 7, 7, 1, 0, 7, 1, 7, 12, 4, 13, 5, 7, 1, 11, 15, 0, 0, 7, 1, 7, 7, 1, 7, 7, 4, 7, 12, -1]	[19, 20, 20, 0, 17, 1, 11, 21, 22, 17, 11, 21, 11, 0, 11, 0, 1, 11, 21, 17, 0, 11, 13, 11, 12, 21, 15, 21, 0, 11, 0, 21, 11, 0, 17, 0, 1, 0, 1, 11, 12, 21, 1, 15, 21, 11, 12, 13, 1, 11, 13, 11, 0, 0, 17, 0, 11, 13, 11, 21, 1, 2, 11, 13, 11, 12, 13, 11, 12, 0, 11, 0]	[7, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
57	['[', '10][11', ']', '\n', 'Ichthyotitan', 'is', 'believed', 'to', 'have', 'been', 'a', 'predator', ',', 'hunting', 'smaller', 'prey', 'including', 'other', 'marine', 'reptiles', 'in', 'a', 'fashion', 'similar', 'to', 'an', 'orca', '.']	[16, 16, 12, 11, 3, 15, 9, 3, 3, 5, 7, 12, 15, 0, 7, 15, 0, 0, 7, 1, 5, 7, 0, 1, 5, 7, 12, -1]	[19, 20, 0, 0, 11, 21, 22, 15, 21, 22, 0, 11, 0, 21, 1, 11, 21, 1, 2, 11, 13, 0, 11, 1, 13, 0, 11, 0]	[7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
58	['This', 'has', 'been', 'taken', 'as', 'evidence', 'for', 'the', 'richness', 'of', 'marine', 'food', 'webs', 'throughout', 'the', 'Triassic', ',', 'believed', 'to', 'be', 'built', 'upon', 'newly', 'evolved', 'forms', 'of', 'plankton', ',', 'and', 'would', 'show', 'that', 'shastasaurids', 'were', 'not', 'in', 'decline', ',', 'but', 'flourishing', 'until', 'their', 'disappearance', 'in', 'the', 'end', '-', 'Triassic', 'extinction', '.']	[10, 3, 3, 15, 1, 7, 1, 5, 7, 1, 0, 7, 7, 1, 5, 11, 12, 15, 9, 3, 15, 13, 2, 15, 7, 1, 11, 12, 4, 3, 15, 13, 7, 3, 9, 1, 7, 12, 4, 15, 1, 10, 7, 1, 5, 7, 12, 11, 7, 12]	[0, 21, 22, 22, 13, 11, 13, 0, 11, 13, 1, 11, 12, 13, 0, 11, 0, 21, 15, 21, 22, 17, 3, 21, 11, 13, 11, 0, 0, 21, 22, 17, 11, 21, 15, 13, 11, 0, 0, 21, 13, 0, 11, 13, 0, 11, 0, 11, 12, 0]	[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
59	['[', '12', ']', 'Their', 'ecology', 'made', 'their', 'remains', 'vulnerable', 'to', 'scavengers', ',', 'with', 'one', 'of', 'the', 'fossils', 'showing', 'signs', 'of', 'scavenging', 'before', 'burial', ',', 'explaining', 'the', 'scarcity', 'of', 'known', 'fossils', '.']	[16, 8, 12, 10, 7, 15, 10, 7, 0, 1, 7, 12, 1, 8, 1, 5, 7, 15, 7, 1, 7, 1, 7, 12, 15, 5, 7, 1, 15, 7, 12]	[19, 0, 0, 0, 11, 21, 0, 11, 1, 13, 11, 0, 13, 0, 13, 0, 11, 21, 11, 13, 11, 13, 11, 0, 21, 0, 11, 13, 21, 11, 0]	[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
60	['[', '12', ']']	[16, 8, 12]	[19, 0, 0]	[7, 0, 0]
